Header_1,Header_2,Header_3,content
"[**Положение Банка России от 7 декабря 2020 г. N 744-П ""О порядке расчета размера операционного риска (""Базель III"") и осуществления Банком России надзора за его соблюдением"" (с изменениями и дополнениями)**](http://ivo.garant.ru/document/redirect/400274280/0)",,,"**С изменениями и дополнениями от:**  
10 января 2023 г., 15 января 2024 г.  
ГАРАНТ:  
Банк с универсальной лицензией должен [применять](#bookmark=id.2rrrqc1) настоящее Положение с 1 января 2023г., за исключением случая, предусмотренного [пунктом8.3](#bookmark=id.16x20ju)
Настоящее Положение на основании [статьи56](http://ivo.garant.ru/document/redirect/12127405/56), [части первой статьи62](http://ivo.garant.ru/document/redirect/12127405/62), [части первой статьи72](http://ivo.garant.ru/document/redirect/12127405/72) Федерального закона от 10 июля 2002года N86-ФЗ ""О Центральном банке Российской Федерации (Банке России)"" (Собрание законодательства Российской Федерации, 2002, N28, ст.2790; 2013, N30, ст.4084; 2018, N11, ст.1588; N18, ст.2557) и в соответствии с решением Совета директоров Банка России (протокол заседания Совета директоров Банка России от 27 ноября 2020года NПСД-28) устанавливает порядок расчета размера операционного риска с учетом международных подходов к повышению устойчивости банковского сектора (""Базель III"") и осуществления Банком России надзора за его соблюдением."
**Глава 1\. Общие положения**,,,"Информация об изменениях:  
*Пункт 1.1 изменен с 20 февраля 2023г. \- [Указание](http://ivo.garant.ru/document/redirect/406341115/1) Банка России от 10 января 2023г. N 6355-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76814140/11)*"
**Глава 1\. Общие положения**,Пункт 1.1,,"Кредитная организация рассчитывает размер операционного риска в соответствии с настоящим Положением в целях расчета нормативов достаточности капитала кредитной организации, установленных [подпунктом2.1.1 пункта2.1](http://ivo.garant.ru/document/redirect/73363119/211) и [подпунктом3.1.1 пункта3.1](http://ivo.garant.ru/document/redirect/73363119/311) Инструкции Банка России от 29 ноября 2019года N199-И ""Об обязательных нормативах и надбавках к нормативам достаточности капитала банков с универсальной лицензией"", зарегистрированной Министерством юстиции Российской Федерации 27 декабря 2019года N57008, 31 марта 2020года N57913, 11 сентября 2020года N59770 (далее \- Инструкция Банка России N199-И), [пунктом2.1](http://ivo.garant.ru/document/redirect/71892502/21) Инструкции Банка России от 6 декабря 2017года N183-И ""Об обязательных нормативах банков с базовой лицензией"", зарегистрированной Министерством юстиции Российской Федерации 2 марта 2018года N50206, 12 сентября 2019года N55912, 31 марта 2020года N57915, 2 июня 2020года N58550, [пунктом 2.5](http://ivo.garant.ru/document/redirect/404847111/25) Инструкции Банка России от 8 ноября 2021года N207-И ""О допустимых сочетаниях банковских операций расчетных небанковских кредитных организаций, об обязательных нормативах расчетных небанковских кредитных организаций и об осуществлении Банком России надзора за их соблюдением"" (зарегистрирована Минюстом России 10 июня 2022года, регистрационный N68834) и [пунктом2.4](http://ivo.garant.ru/document/redirect/71874960/24) Инструкции Банка России от 21 ноября 2017года N182-И ""О допустимых сочетаниях банковских операций небанковских кредитных организаций, осуществляющих депозитно-кредитные операции, об обязательных нормативах небанковских кредитных организаций, осуществляющих депозитно-кредитные операции, и об осуществлении Банком России надзора за их соблюдением"", зарегистрированной Министерством юстиции Российской Федерации 5 февраля 2018года N49902, 19 ноября 2018года N52715, 31 марта 2020года N57915, с соблюдением кредитной организацией требований к системе управления операционным риском, установленных [Положением](http://ivo.garant.ru/document/redirect/74279372/0) Банка России от 8 апреля 2020года N716-П ""О требованиях к системе управления операционным риском в кредитной организации и банковской группе"", зарегистрированным Министерством юстиции Российской Федерации 3 июня 2020года N58577 (далее \- Положение Банка России N716-П).
Настоящее Положение не применяется в отношении центральных контрагентов, центральных депозитариев и небанковских кредитных организаций, имеющих право на осуществление переводов денежных средств без открытия банковских счетов и связанных с ними иных банковских операций."
**Глава 1\. Общие положения**,Пункт 1.2,,"Кредитная организация определяет размер операционного риска по формуле:  
ОРi\=КБИiКВПi,  
где:
i \- расчетный год, по состоянию на который кредитная организация рассчитывает размер операционного риска в целях расчета нормативов достаточности капитала в данном году (далее \- расчетный год);
ОРi \- размер операционного риска для i-го расчетногогода, рассчитанный кредитной организацией по состоянию на даты, указанные в [пунктах 1.3](#bookmark=id.3dy6vkm) и [1.4](#bookmark=id.1t3h5sf) настоящего Положения (далее \- расчетная дата);
КБИi \- величина компонента расчета размера операционного риска (далее \- КБИ), рассчитанная кредитной организацией в соответствии с [подпунктами 2.1.1-2.1.3 пункта2.1](#bookmark=id.17dp8vu) настоящего Положения с учетом величины бизнес-индикатора (далее \- БИ), рассчитываемого в соответствии с [пунктом2.2](#bookmark=id.lnxbz9) настоящего Положения, в тысячах рублей, по состоянию на расчетную дату i-гогода;
КВПi \- величина коэффициента внутренних потерь (далее \- КВП), рассчитанная кредитной организацией в соответствии с [пунктом3.1](#bookmark=id.ihv636) настоящего Положения, по состоянию на расчетную дату i-гогода.  
Информация об изменениях:  
*Пункт 1.3 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/11) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/13)*"
**Глава 1\. Общие положения**,Пункт 1.3,,"Кредитная организация рассчитывает ежегодно размер операционного риска на 1 января расчетного года в сроки, указанные в [пункте 9](http://ivo.garant.ru/document/redirect/406750235/101695) Порядка составления и представления отчетности по форме 0409135 ""Информация об обязательных нормативах и о других показателях деятельности кредитной организации"", установленного [Указанием](http://ivo.garant.ru/document/redirect/406750235/0) Банка России от 10 апреля 2023года N6406-У ""О формах, сроках, порядке составления и представления отчетности кредитных организаций (банковских групп) в Центральный банк Российской Федерации, а также о перечне информации о деятельности кредитных организаций (банковских групп)"" (зарегистрировано Минюстом России 16 августа 2023года, регистрационный N74823) с изменениями, внесенными [Указанием](http://ivo.garant.ru/document/redirect/408453743/0) Банка России от 8 декабря 2023года N6621-У (зарегистрировано Минюстом России 22 января 2024года, регистрационный N76927) (далее \- Указание Банка России N6406-У), на указанную отчетную дату.  
Информация об изменениях:  
*Пункт 1.4 изменен с 1 октября 2024г. \- [Указание](http://ivo.garant.ru/document/redirect/408990212/11) Банка России от 15 января 2024г. N 6674-У*  
*[См. предыдущую редакцию](http://ivo.garant.ru/document/redirect/76824743/14)*"
**Глава 1\. Общие положения**,Пункт 1.4,,"В случае если кредитная организация отражает в бухгалтерском учете события, подтверждающие существовавшие на отчетную дату условия, в которых кредитная организация вела свою деятельность (далее \- корректирующие события после отчетной даты), в соответствии с [главой 3](http://ivo.garant.ru/document/redirect/70447604/300) Указания Банка России от 4 сентября 2013года N3054-У ""О порядке составления кредитными организациями годовой бухгалтерской (финансовой) отчетности"" (зарегистрировано Минюстом России 1 ноября 2013года, регистрационный N30303) с изменениями, внесенными Указаниями Банка России [от 30 ноября 2014года N3460-У](http://ivo.garant.ru/document/redirect/70811008/0) (зарегистрировано Минюстом России 16 декабря 2014года, регистрационный N35196), [от 21 октября 2015года N3827-У](http://ivo.garant.ru/document/redirect/71231506/0) (зарегистрировано Минюстом России 3 ноября 2015года, регистрационный N39599), [от 24 октября 2016года N4167-У](http://ivo.garant.ru/document/redirect/71526300/0) (зарегистрировано Минюстом России 11 ноября 2016года, регистрационный N44307), [от 31 октября 2017года N4594-У](http://ivo.garant.ru/document/redirect/71804982/0) (зарегистрировано Минюстом России 22 ноября 2017года, регистрационный N48976), [от 12 ноября 2018года N4964-У](http://ivo.garant.ru/document/redirect/72107444/0) (зарегистрировано Минюстом России 28 ноября 2018года, регистрационный N52825), [от 1 ноября 2019года N5306-У](http://ivo.garant.ru/document/redirect/73177898/0) (зарегистрировано Минюстом России 4 декабря 2019года, регистрационный N56686), [от 1 октября 2020года N5579-У](http://ivo.garant.ru/document/redirect/74875897/0) (зарегистрировано Минюстом России 30 октября 2020года, регистрационный N60687), [от 26 сентября 2022года N6255-У](http://ivo.garant.ru/document/redirect/405579349/0) (зарегистрировано Минюстом России 25 октября 2022года, регистрационный N70691), [от 27 июня 2023года N6467-У](http://ivo.garant.ru/document/redirect/407482601/0) (зарегистрировано Минюстом России 28 июля 2023года, регистрационный N74509) (далее \- Указание Банка России N3054-У), влияющие на расчет величины показателей БИ и КВП, кредитная организация проводит ежегодно на дату составления годовой бухгалтерской (финансовой) отчетности кредитной организации в соответствии с [главой 1](http://ivo.garant.ru/document/redirect/70447604/100) Указания Банка России N3054-У (далее \- дата составления годовой бухгалтерской (финансовой) отчетности) перерасчет размера операционного риска, показателей БИ и КВП на основании отраженных в бухгалтерском учете корректирующих событий после отчетной даты и отражает указанные показатели в отчетности по [форме 0409135](http://ivo.garant.ru/document/redirect/406750235/1027), установленной [Указанием](http://ivo.garant.ru/document/redirect/406750235/0) Банка России N6406-У, составленной на отчетную дату, следующую за датой перерасчета."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.1,,"Кредитная организация рассчитывает величину КБИi с учетом величины БИ, определенной по состоянию на расчетную дату i-гогода (далее \- БИi)."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.1,Пункт 2.1.1,"Кредитная организация, величина БИi которой на расчетную дату i-гогода не превышает 70 миллиардов рублей, рассчитывает величину КБИi на расчетную дату i-гогода по формуле:  
КБИi\=БИi12%."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.1,Пункт 2.1.2,"Кредитная организация, величина БИi которой на расчетную дату i-гогода превышает 70 миллиардов рублей и не превышает 2,1 триллиона рублей, рассчитывает величину КБИi на расчетную дату i-гогода по формуле:  
КБИi\=8 400 000 000+(БИi\-70 000 000 000)15%."
**Глава 2\. Расчет величины компонента расчета размера операционного риска**,Пункт 2.1,Пункт 2.1.3,"Кредитная организация, величина БИi которой на расчетную дату i-гогода превышает 2,1 триллиона рублей, рассчитывает величину КБИi на расчетную дату i-гогода по формуле:  
КБИi\=312 900 000 000+(БИi\-2 100 000 000 000)18%."
