,Unnamed: 0,Вопрос,Ответ
0,1.0,В какие сроки головная кредитная организация банковской группы должна представить в Банк России отчеты о размере оп риска?,"Головная кредитная организация должна представить в Банк России отчеты о расчетах операционного риска банковской группы не позднее десяти рабочих дней после представления отчетности по форме 0409805 за 1 января расчетного года, при условии соблюдения сроков, установленных в Порядке составления и представления отчетности (Глава 1, пункт 1.3; Глава 2, пункт 2.8)."
1,2.0,Как учитываются корректирующие события после отчетной даты при перерасчете размера опер риска?,"При наличии корректирующих событий после отчетной даты, влияющих на показатели КБИ_БГ i и КВП_БГ i, головная кредитная организация должна перерассчитать размер операционного риска банковской группы на 1 июля расчетного года, учитывая изменения в бухгалтерском учете по состоянию на 1 января расчетного года (Глава 1, пункт 1.4; Глава 2, пункт 2.2.1)."
2,3.0,"Расскажи про события, которые должны регистрироваться в базе событий для управления опер риском, и какие типы потерь учитываются в расчете?","Для управления операционным риском головная кредитная организация обязана определить порядок регистрации событий операционного риска, включая учет потерь по событиям, зафиксированным в базе событий (Глава 2.6). Прямые потери отражаются на счетах бухгалтерского учета и должны быть зарегистрированы в базе событий, предусмотренной Указанием № 3624-У (Глава 3.12)."
3,4.0,"Расскажи о порядке взаимодействия с Банком России при расчете размера оп риска, и какие внутренние документы и методики должны быть разработаны?","Взаимодействие головной кредитной организации с Банком России при расчете размера операционного риска осуществляется через личный кабинет в соответствии с Указанием Банка России N 5969-У... (Глава 1.5). Также головная кредитная организация должна разработать внутренние документы, включая порядок и методику расчета операционного риска, а также порядок учета событий риска (Глава 2.6)."
4,5.0,Какие показатели должны быть исключены из расчета БИ и какова методика перерасчета при корректирующих событиях?,"При расчете бизнес-индикатора банковской группы головная кредитная организация должна исключить операции и сделки, указанные в пунктах 3.10 и 3.11 Положения Банка России N 815-П (Глава 2.2.1). В случае корректирующих событий после отчетной даты осуществляется перерасчет величин КБИ_БГ и КВП_БГ на 1 июля расчетного года (Глава 1.4)."
5,,Смежные вопросы,
6,1.0,Какие требования должны соблюдаться для обеспечения надежного управления оп риском и как учитываются потери при его реализации?,"Для обеспечения надежного управления операционным риском кредитная организация должна следовать процедурам, включающим идентификацию риска, анализ базы событий, самооценку и анализ динамики ключевых индикаторов риска... Потери при реализации операционного риска должны быть зарегистрированы в базе событий и учтены при перерасчете на дату составления годовой бухгалтерской отчетности ."
7,2.0,Какие подразделения участвуют в управлении оп риском и как определяется их взаимодействие?,"В управлении операционным риском участвуют служба управления рисками, специализированные подразделения, а также подразделения, обеспечивающие процессы организации. Взаимодействие между этими подразделениями осуществляется на основе методики, разработанной кредитной организацией, включающей координацию действий по выявлению и устранению рисков..."
8,3.0,Какие подходы применяются для классификации событий оп риска и как эта информация должна регистрироваться?,"Кредитная организация классифицирует события операционного риска по источникам, типам, направлениям деятельности и видам потерь. Все классифицированные события должны быть зарегистрированы с указанием источников, типов событий и величины потерь, при этом запись должна вноситься незамедлительно после выявления..."
9,4.0,"Каковы требования к ежегодной самооценке опер риска, и кто должен осуществлять этот процесс?","Кредитная организация проводит ежегодную самооценку уровня операционного риска на основе формализованных анкет. Самооценка проводится подразделениями, отвечающими за управление операционным риском, а результаты утверждаются коллегиальным исполнительным органом."
10,5.0,Каковы требования к АС управления оп риском и какие функции она должна выполнять?,"Автоматизированная информационная система кредитной организации должна обеспечивать функционирование всей системы управления операционным риском, включая регистрацию событий, анализ и мониторинг рисков... Объем и функциональность этой системы должны соответствовать осуществляемым операциям и действующим процессам организации."
